age,population
30%  Ministry of economic development of the Russian Federation,30
22%  Administration of the President of the Russian Federation,22
2%  Ministry of finance of the Russian Federation,2
2%  Vnesheconombank,2
2%  Gazprom Neft PJSC,2
2 % Megafon PJSC,2
3%  Federal Tax service of Russia,3
18%  Ministry of Justice of the Russian Federation,18
3%  Federal National Guard Service,3
3%  SIBUR,3
3%  Special representative of the President of the Russian Federation on international cooperation in the Arctic and Antarctic,3
10%  Gazprombank,10
